country_code,country,hdi,gdp_per_capita,mean_years_schooling,education_expenditure_pct_gdp,health_expenditure_per_capita,government_effectiveness,gii,region,income_level
AFG,Afghanistan,0.462,377.665627080705,2.514790058,,80.6516037,-1.88003480434418,0.665,Middle East & North Africa,Low income
AGO,Angola,0.591,2860.90251922246,5.844291601,2.38535898416633,103.94506073,-1.02603423595428,0.52,Sub-Saharan Africa,Lower middle income
ALB,Albania,0.789,5867.65096230557,10.12114431,2.72976994514465,506.86920166,0.0645405352115631,0.116,Europe & Central Asia,Upper middle income
AND,Andorra,0.884,39780.4152991834,11.61343956,2.64727997779846,3190.11328125,1.49526071548462,,Europe & Central Asia,High income
ARE,United Arab Emirates,0.937,41828.5553298104,12.77375031,,2240.9050293,1.29912793636322,0.035,Middle East & North Africa,High income
ARG,Argentina,0.849,13276.8232110189,11.14408016,4.79263019561768,1415.79577637,-0.28348970413208,0.292,Latin America & Caribbean,Upper middle income
ARM,Armenia,0.786,4791.00481712183,11.33030033,2.4918999671936,674.78619385,-0.314792364835739,0.198,Europe & Central Asia,Upper middle income
ATG,Antigua and Barbuda,0.826,17456.8722243104,10.54622968,2.50368755552383,891.00323486,-0.160002663731575,,Latin America & Caribbean,High income
AUS,Australia,0.946,61200.4588964781,12.72681999,5.05916023254395,6723.98242188,1.52843272686005,0.063,East Asia & Pacific,High income
AUT,Austria,0.926,47332.4240357971,12.30571367,5.27748012542725,5897.97607422,1.46492278575897,0.048,Europe & Central Asia,High income
AZE,Azerbaijan,0.76,5599.58524971025,10.55612992,3.04690003395081,261.44659424,-0.0412070974707603,0.329,Europe & Central Asia,Upper middle income
BDI,Burundi,0.42,263.587550051638,3.305215598,,25.52155113,-1.26360619068146,0.499,Sub-Saharan Africa,Low income
BEL,Belgium,0.942,44486.7438563594,12.52857789,6.27796983718872,5487.59277344,1.22718644142151,0.044,Europe & Central Asia,High income
BEN,Benin,0.504,1218.49668929091,3.137261725,3.0972642678305,37.76291275,-0.170590236783028,0.649,Sub-Saharan Africa,Lower middle income
BFA,Burkina Faso,0.438,740.306319930259,2.318685239,5.29456753304241,64.38339996,-0.853148698806763,0.577,Sub-Saharan Africa,Low income
BGD,Bangladesh,0.67,1804.3493461776,7.379059792,2.08538657806243,56.62142181,-0.763355314731598,0.498,South Asia,Lower middle income
BGR,Bulgaria,0.799,9597.86796406548,11.41318035,4.50109004974365,1066.69189453,-0.271232962608337,0.206,Europe & Central Asia,High income
BHR,Bahrain,0.888,25234.40256182,11.04658985,1.71192127094005,1178.80664063,0.639720022678375,0.181,Middle East & North Africa,High income
BHS,Bahamas,0.82,32186.4575039237,12.73161494,2.62367021406169,2327.20117188,0.423950403928757,0.333,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,0.779,6327.16206849174,10.53631973,2.97012986426524,667.29681396,-1.06496071815491,0.148,Europe & Central Asia,Upper middle income
BLR,Belarus,0.801,6206.61909685419,12.24122445,4.62823009490967,529.01873779,-0.851723372936249,0.096,Europe & Central Asia,Upper middle income
BLZ,Belize,0.7,6262.56088273674,8.847599983,4.60415983200073,298.01553345,-0.356684654951096,0.454,Latin America & Caribbean,Upper middle income
BOL,Bolivia (Plurinational State of),0.698,3088.24126155241,9.827750206,7.57550001144409,260.88070679,-0.564738214015961,0.418,Latin America & Caribbean,Lower middle income
BRA,Brazil,0.76,9032.08377657776,8.278307638,5.61922979354858,871.27526855,-0.588259339332581,0.391,Latin America & Caribbean,Upper middle income
