country_code,country,gdp_per_capita,education_expenditure_pct_gdp,health_expenditure_per_capita
ABW,Aruba,29195.2670227422,,
AFG,Afghanistan,377.665627080705,,80.6516037
AGO,Angola,2860.90251922246,2.38535898416633,103.94506073
ALB,Albania,5867.65096230557,2.72976994514465,506.86920166
AND,Andorra,39780.4152991834,2.64727997779846,3190.11328125
ARE,United Arab Emirates,41828.5553298104,,2240.9050293
ARG,Argentina,13276.8232110189,4.79263019561768,1415.79577637
ARM,Armenia,4791.00481712183,2.4918999671936,674.78619385
ASM,American Samoa,13709.0974895473,,
ATG,Antigua and Barbuda,17456.8722243104,2.50368755552383,891.00323486
AUS,Australia,61200.4588964781,5.05916023254395,6723.98242188
AUT,Austria,47332.4240357971,5.27748012542725,5897.97607422
AZE,Azerbaijan,5599.58524971025,3.04690003395081,261.44659424
BDI,Burundi,263.587550051638,,25.52155113
BEL,Belgium,44486.7438563594,6.27796983718872,5487.59277344
BEN,Benin,1218.49668929091,3.0972642678305,37.76291275
BFA,Burkina Faso,740.306319930259,5.29456753304241,64.38339996
BGD,Bangladesh,1804.3493461776,2.08538657806243,56.62142181
BGR,Bulgaria,9597.86796406548,4.50109004974365,1066.69189453
BHR,Bahrain,25234.40256182,1.71192127094005,1178.80664063
BHS,Bahamas,32186.4575039237,2.62367021406169,2327.20117188
BIH,Bosnia and Herzegovina,6327.16206849174,2.97012986426524,667.29681396
BLR,Belarus,6206.61909685419,4.62823009490967,529.01873779
BLZ,Belize,6262.56088273674,4.60415983200073,298.01553345
BMU,Bermuda,109642.671877743,1.77583338857166,
BOL,Bolivia (Plurinational State of),3088.24126155241,7.57550001144409,260.88070679
BRA,Brazil,9032.08377657776,5.61922979354858,871.27526855
BRB,Barbados,20472.9494048647,4.14000988006592,1302.0592041
BRN,Brunei Darussalam,28549.1756060465,,648.55499268
BTN,Bhutan,3349.73309632799,7.46981980280053,138.00679016
BWA,Botswana,7159.5860618268,,477.77633667
CAF,Central African Republic,398.91539795642,2.11509129476365,47.91523361
CAN,Canada,45677.686578804,4.88021993637085,6252.34033203
CHE,Switzerland,90605.019427268,4.92419004440308,10930.13964844
CHI,Channel Islands,67508.9385276664,,
CHL,Chile,14283.1489501524,4.89753007888794,1541.37927246
CHN,China,11830.5983703496,,755.43597412
CIV,Côte d'Ivoire,2227.09845246984,3.51197004318237,84.89915466
CMR,Cameroon,1458.66180431693,2.65952378267367,72.12950897
COD,Congo (Democratic Republic of the),513.512704372167,2.84466514463005,24.3800106
COG,Congo,1686.00234391385,2.72738253259215,53.11892319
COL,Colombia,6856.72590505374,,507.07064819
COM,Comoros,1368.3741885336,2.43164424110924,124.14363861
