country,country_code,government_effectiveness
Aruba,ABW,1.10521340370178
Afghanistan,AFG,-1.88003480434418
Angola,AGO,-1.02603423595428
Albania,ALB,0.0645405352115631
Andorra,AND,1.49526071548462
United Arab Emirates,ARE,1.29912793636322
Argentina,ARG,-0.28348970413208
Armenia,ARM,-0.314792364835739
American Samoa,ASM,0.66762912273407
Antigua and Barbuda,ATG,-0.160002663731575
Australia,AUS,1.52843272686005
Austria,AUT,1.46492278575897
Azerbaijan,AZE,-0.0412070974707603
Burundi,BDI,-1.26360619068146
Belgium,BEL,1.22718644142151
Benin,BEN,-0.170590236783028
Burkina Faso,BFA,-0.853148698806763
Bangladesh,BGD,-0.763355314731598
Bulgaria,BGR,-0.271232962608337
Bahrain,BHR,0.639720022678375
"Bahamas, The",BHS,0.423950403928757
Bosnia and Herzegovina,BIH,-1.06496071815491
Belarus,BLR,-0.851723372936249
Belize,BLZ,-0.356684654951096
Bermuda,BMU,1.21938359737396
Bolivia,BOL,-0.564738214015961
Brazil,BRA,-0.588259339332581
Barbados,BRB,0.428394287824631
Brunei Darussalam,BRN,1.42228293418884
Bhutan,BTN,0.56129378080368
Botswana,BWA,0.439493864774704
Central African Republic,CAF,-1.71030342578888
Canada,CAN,1.56661772727966
Switzerland,CHE,2.04943490028381
Chile,CHL,0.546218276023865
China,CHN,0.494212538003922
Cote d'Ivoire,CIV,-0.333772420883179
Cameroon,CMR,-0.881507813930511
"Congo, Dem. Rep.",COD,-1.74667477607727
"Congo, Rep.",COG,-1.37009811401367
Colombia,COL,0.01379637978971
Comoros,COM,-1.68305671215057
Cabo Verde,CPV,0.0208359286189079
Costa Rica,CRI,0.0526026673614979
Cuba,CUB,-0.350906133651733
Cayman Islands,CYM,1.26231098175049
Cyprus,CYP,0.730335235595703
Czechia,CZE,1.09341883659363
Germany,DEU,1.28929960727692
Djibouti,DJI,-0.786802113056183
Dominica,DMA,-0.0973235219717026
Denmark,DNK,1.9901350736618
Dominican Republic,DOM,-0.0684610605239868
Algeria,DZA,-0.51349949836731
Ecuador,ECU,-0.309278339147568
"Egypt, Arab Rep.",EGY,-0.448231309652328
Eritrea,ERI,-1.73129761219025
Spain,ESP,0.920230388641357
Estonia,EST,1.34263217449188
Ethiopia,ETH,-0.791824162006378
Finland,FIN,1.75458240509033
Fiji,FJI,0.593959331512451
France,FRA,1.16521215438843
"Micronesia, Fed. Sts.",FSM,0.379875272512436
Gabon,GAB,-0.685424149036407
United Kingdom,GBR,1.23809003829956
Georgia,GEO,0.650143086910248
Ghana,GHA,-0.106421269476414
Guinea,GIN,-0.914215862751007
"Gambia, The",GMB,-0.653572559356689
Guinea-Bissau,GNB,-1.4869327545166
Equatorial Guinea,GNQ,-1.29705548286438
Greece,GRC,0.446967661380768
Grenada,GRD,0.0385159365832806
Greenland,GRL,0.756547510623932
Guatemala,GTM,-0.907798588275909
Guam,GUM,0.66762912273407
Guyana,GUY,-0.266314893960953
"Hong Kong SAR, China",HKG,1.58966255187988
Honduras,HND,-0.86729633808136
Croatia,HRV,0.581313610076904
Haiti,HTI,-2.22816133499146
Hungary,HUN,0.533869922161102
Indonesia,IDN,0.436147511005402
India,IND,0.369541674852371
Ireland,IRL,1.5485702753067
"Iran, Islamic Rep.",IRN,-0.882911622524261
Iraq,IRQ,-1.30276036262512
Iceland,ISL,1.5629870891571
Israel,ISR,1.23610758781433
Italy,ITA,0.448645293712616
Jamaica,JAM,0.603865921497345
Jordan,JOR,0.1941107660532
Japan,JPN,1.61941540241241
Kazakhstan,KAZ,0.142756044864655
Kenya,KEN,-0.329533219337463
Kyrgyz Republic,KGZ,-0.890511035919189
Cambodia,KHM,-0.351413905620575
Kiribati,KIR,0.166980341076851
St. Kitts and Nevis,KNA,0.391751825809479
"Korea, Rep.",KOR,1.34904730319977
Kuwait,KWT,0.1114886328578
Lao PDR,LAO,-0.597129583358765
Lebanon,LBN,-1.45929002761841
Liberia,LBR,-1.43107986450195
Libya,LBY,-1.75577163696289
St. Lucia,LCA,-0.0973235219717026
Liechtenstein,LIE,1.48778104782104
Sri Lanka,LKA,-0.391961753368378
Lesotho,LSO,-0.887993335723877
Lithuania,LTU,0.993961572647095
Luxembourg,LUX,1.77222788333893
Latvia,LVA,0.69153767824173
"Macao SAR, China",MAC,1.10521340370178
Morocco,MAR,-0.0818562060594559
Monaco,MCO,2.04701542854309
Moldova,MDA,-0.307596892118454
Madagascar,MDG,-0.972033023834229
Maldives,MDV,-0.107565149664879
Mexico,MEX,-0.281723529100418
Marshall Islands,MHL,0.226975664496422
North Macedonia,MKD,-0.0813848301768303
Mali,MLI,-1.1489531993866
Malta,MLT,0.804084479808807
Myanmar,MMR,-1.68502449989319
Montenegro,MNE,-0.0274766758084297
Mongolia,MNG,-0.424924910068512
Mozambique,MOZ,-0.73704868555069
Mauritania,MRT,-0.725075662136078
Mauritius,MUS,0.766172587871552
Malawi,MWI,-0.853226065635681
Malaysia,MYS,0.992667615413666
Namibia,NAM,0.0692832469940186
Niger,NER,-0.627598226070404
Nigeria,NGA,-1.04151690006256
Nicaragua,NIC,-1.03687942028046
Netherlands,NLD,1.57889866828918
Norway,NOR,1.94172024726868
Nepal,NPL,-0.918098270893097
Nauru,NRU,0.19847996532917
New Zealand,NZL,1.34026157855988
Oman,OMN,0.0215067788958549
Pakistan,PAK,-0.624728679656982
Panama,PAN,-0.128100603818893
Peru,PER,-0.39837571978569
Philippines,PHL,0.063930444419384
Palau,PLW,0.449695825576782
Papua New Guinea,PNG,-0.810510694980621
Poland,POL,0.258881956338882
Puerto Rico (US),PRI,-0.482422739267349
"Korea, Dem. People's Rep.",PRK,-1.46377837657928
Portugal,PRT,1.00113356113434
Paraguay,PRY,-0.614015102386475
West Bank and Gaza,PSE,-0.902029156684875
Qatar,QAT,1.13661742210388
Romania,ROU,-0.0004623509012162
Russian Federation,RUS,-0.696263790130615
Rwanda,RWA,0.232074052095413
Saudi Arabia,SAU,0.582258403301239
Sudan,SDN,-1.68637764453888
Senegal,SEN,0.0397833846509457
Singapore,SGP,2.14423561096191
Solomon Islands,SLB,-0.67954033613205
Sierra Leone,SLE,-1.17013084888458
El Salvador,SLV,-0.321259051561356
San Marino,SMR,1.77113807201385
"Somalia, Fed. Rep.",SOM,-2.02740406990051
Serbia,SRB,0.0651759877800941
South Sudan,SSD,-2.39076352119446
Sao Tome and Principe,STP,-0.8350989818573
Suriname,SUR,-0.944707155227661
Slovak Republic,SVK,0.378134667873383
Slovenia,SVN,1.06853556632996
Sweden,SWE,1.5724048614502
Eswatini,SWZ,-0.781404197216034
Seychelles,SYC,0.661873877048492
Syrian Arab Republic,SYR,-1.75301361083984
Chad,TCD,-1.42367351055145
Togo,TGO,-0.645623385906219
Thailand,THA,0.127444162964821
Tajikistan,TJK,-0.757130861282349
Turkmenistan,TKM,-1.15899753570557
Timor-Leste,TLS,-0.770140171051025
Tonga,TON,-0.16662822663784
Trinidad and Tobago,TTO,-0.0255433935672045
Tunisia,TUN,-0.262752622365952
Turkiye,TUR,-0.199645325541496
Tuvalu,TUV,-0.313752740621567
Tanzania,TZA,-0.460365831851959
Uganda,UGA,-0.605068683624268
Ukraine,UKR,-0.497119277715683
Uruguay,URY,0.849587678909302
United States,USA,1.25549554824829
Uzbekistan,UZB,-0.329937309026718
St. Vincent and the Grenadines,VCT,0.318174481391907
"Venezuela, RB",VEN,-1.68905186653137
Virgin Islands (U.S.),VIR,0.66762912273407
Viet Nam,VNM,0.174635261297226
Vanuatu,VUT,-0.538524687290192
Samoa,WSM,0.307863622903824
Kosovo,XKX,-0.194915696978569
"Yemen, Rep.",YEM,-2.23346471786499
South Africa,ZAF,-0.109027646481991
Zambia,ZMB,-0.638017058372498
Zimbabwe,ZWE,-1.25122380256653
