Unnamed: 0,Unnamed: 1,Value,Unnamed: 3,Rank,Unnamed: 5,"(deaths per 100,000 live births)",Unnamed: 7,"(births per 1,000 women ages 15–19)",Unnamed: 9,(% held by women),Unnamed: 11,(% ages 25 and older),Unnamed: 13,Unnamed: 14,Unnamed: 15,(% ages 15 and older),Unnamed: 17,Unnamed: 18,Unnamed: 19
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,,2022,,2022,,2020,,2022.0,,2022,,2022,b,2022,b,2022,,2022,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
1,Switzerland,0.018,,3,,7.378754713,,2.2,,39.02439024,,96.93972611,c,97.5174373,c,61.49,,71.94,
2,Norway,0.012,,2,,1.663741403,,2.195,,44.9704142,,99.09403104,c,99.27497953,c,62.53,,69.59,
3,Iceland,0.039,,9,,2.654417805,,5.077,,47.61904762,,99.76841736,,99.66255188,,70.7,,78.29,
4,"Hong Kong, China (SAR)",..,,..,,..,,1.571,,..,,77.86691284,,84.06780243,,52.91,,64.71,
5,Denmark,0.009,,1,,4.65771671,,1.814,,43.57541899,,95.06726074,,95.23809814,,59.42,,67.42,
5,Sweden,0.023,,4,,4.507839264,,3.312,,46.41833811,,92.36278933,c,92.70197297,c,63.68,,70.38,
7,Germany,0.071,,19,,4.428440323,,7.186,,34.82032218,,95.4335022,,95.93977356,,56.13,,66.59,
7,Ireland,0.072,,20,,4.983957073,,5.872,,27.39726027,,88.5856389,c,86.41741482,c,59.4,,70.51,
9,Singapore,0.036,,8,,7.452762692,,2.462,,29.12621359,,80.46401978,,85.93203735,,63.37,,77,
10,Australia,0.063,,17,,2.941509495,,7.731,,44.49339207,,94.58006287,,94.43006897,,62.31,,71.13,
10,Netherlands,0.025,,5,,4.311738966,,2.747,,37.77777778,,89.80818939,,92.67472839,,63.58,,72.35,
12,Belgium,0.044,,11,,4.755863198,,5.105,,44.28571429,,88.69869175,c,90.74669673,c,50.8,,59.54,
12,Finland,0.032,,6,,8.338901656,,4.1,,45.5,,99.2017433,,98.8740322,,58.17,,64.18,
12,Liechtenstein,..,,..,,..,,2.98,,28,,..,,..,,52.79,,67.26,
