Unnamed: 0,Unnamed: 1,Human Development Index (HDI) ,Unnamed: 3,Life expectancy at birth,Unnamed: 5,Expected years of schooling,Unnamed: 7,Mean years of schooling,Unnamed: 9,Gross national income (GNI) per capita,Unnamed: 11,GNI per capita rank minus HDI rank,Unnamed: 13,HDI rank
HDI rank,Country,Value,,(years),,(years),,(years),,(2017 PPP $),,,,
,,2022,,2022,,2022,a,2022,a,2022,,2022,b,2021
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,
1,Switzerland,0.967,,84.255,,16.5837307,,13.90406622,c,69432.78669,,6,,1
2,Norway,0.966,,83.393,,18.63846016,d,13.06234279,c,69189.76165,,6,,2
3,Iceland,0.959,,82.815,,19.10672951,d,13.76716995,,54688.37921,,16,,4
4,"Hong Kong, China (SAR)",0.956,,84.315,,17.8495903,,12.34776974,,62485.50516,,6,,3
5,Denmark,0.952,,81.882,,18.77403069,d,12.96049023,,62018.95694,,6,,8
5,Sweden,0.952,,83.505,,19.03676987,d,12.67372015,c,56995.84796,,10,,5
7,Germany,0.95,,80.989,,17.34334946,,14.25594044,,55340.19722,,11,,7
7,Ireland,0.95,,82.716,,19.12610054,d,11.6569568,c,87467.51391,e,-3,,9
9,Singapore,0.949,,84.133,,16.90273094,,11.92488003,,88761.14559,e,-6,,10
10,Australia,0.946,,83.579,,21.0800209,d,12.72681999,,49257.1352,,14,,5
10,Netherlands,0.946,,82.451,,18.58348083,d,12.58162975,,57278.31015,,4,,11
12,Belgium,0.942,,82.293,,18.94573975,d,12.52857789,c,53644.03854,,9,,13
12,Finland,0.942,,82.351,,19.22859001,d,12.92915501,c,49522.09853,,11,,11
12,Liechtenstein,0.942,,84.656,,15.46640015,,12.351169,f,146673.2415,"e,g",-11,,14
15,United Kingdom,0.94,,82.156,,17.6342907,,13.4061203,,46623.90269,,13,,17
16,New Zealand,0.939,,83.006,,19.68234062,d,12.94468975,,43665.49848,,16,,14
17,United Arab Emirates,0.937,,79.196,,17.20813942,,12.77375031,,74103.71494,,-11,,17
18,Canada,0.935,,82.847,,15.96065044,,13.86876597,c,48444.39319,,8,,16
19,Korea (Republic of),0.929,,84.024,,16.50964928,,12.61409234,c,46026.4542,,10,,20
20,Luxembourg,0.927,,82.591,,14.19705009,,12.9600811,h,78554.2364,e,-15,,19
20,United States,0.927,,78.203,,16.41274071,,13.57549953,,65564.93798,,-11,,21
22,Austria,0.926,,82.412,,16.36746025,,12.30571367,c,56529.66329,,-5,,22
22,Slovenia,0.926,,82.133,,17.40657997,,12.88015724,c,41586.89849,,13,,24
24,Japan,0.92,,84.82,,15.45631981,,12.66923046,,43643.86417,,9,,22
25,Israel,0.915,,82.601,,15.02984047,,13.44279092,c,43588.25725,,9,,26
25,Malta,0.915,,83.704,,15.86133957,,12.21026039,,44464.03057,,5,,25
27,Spain,0.911,,83.912,,17.80905914,,10.60540009,,40043.33773,,10,,28
28,France,0.91,,83.229,,15.98756027,,11.68859246,c,47378.74304,,-1,,27
29,Cyprus,0.907,,81.889,,16.24308968,,12.44017029,,40136.89453,,7,,29
30,Italy,0.906,,84.057,,16.65806007,,10.7401104,,44284.15735,,1,,30
31,Estonia,0.899,,79.155,,15.94297981,,13.54843044,,37151.63384,,9,,32
32,Czechia,0.895,,78.129,,16.3472805,,12.91605342,c,39944.66682,,6,,31
33,Greece,0.893,,80.614,,20.02638054,d,11.40853024,,31381.667,,20,,33
34,Bahrain,0.888,,79.246,,16.29968071,,11.04658985,,48731.44564,,-9,,34
35,Andorra,0.884,,83.552,,12.7837801,,11.61343956,,54233.44948,i,-15,,43
36,Poland,0.881,,76.996,,15.93451977,,13.1647501,,35150.9519,,7,,35
37,Latvia,0.879,,75.927,,16.55606079,,13.33330305,c,32082.98104,,13,,39
37,Lithuania,0.879,,74.293,,16.39982986,,13.49810028,,38131.23588,,2,,36
39,Croatia,0.878,,79.236,,15.57269955,,12.32871821,c,34323.80663,,5,,37
40,Qatar,0.875,,81.559,,13.26426983,,10.1317219,c,95944.37754,e,-38,,41
40,Saudi Arabia,0.875,,77.905,,15.17204484,j,11.31052971,,50620.43706,,-18,,37
42,Portugal,0.874,,82.24,,16.82140923,,9.575940132,,35314.99828,,0,,39
43,San Marino,0.867,,83.433,,12.40295982,,10.52074301,k,57686.54334,l,-30,,44
44,Chile,0.86,,79.519,,16.76792908,,11.11136804,c,24430.99593,,15,,42
45,Slovakia,0.855,,75.33,,14.72154999,,13.00719575,c,32171.24606,,4,,45
45,Türkiye,0.855,,78.475,,19.68494987,d,8.811284129,c,32833.53512,,2,,48
47,Hungary,0.851,,74.958,,15.07330036,,12.24958992,,34195.54059,,-2,,46
48,Argentina,0.849,,76.064,,18.97950935,d,11.14408016,,22047.97131,,17,,47
49,Kuwait,0.847,,80.264,,15.6911416,c,7.441742908,c,56729.18152,,-33,,50
50,Montenegro,0.844,,76.845,,15.08475971,,12.61621288,c,22513.26314,,12,,49
51,Saint Kitts and Nevis,0.838,,72.027,,18.40703011,"d,m",10.8494008,n,28441.68074,,3,,51
52,Uruguay,0.83,,78,,17.35183907,,9.058219782,c,22206.99029,,12,,56
53,Romania,0.827,,74.117,,14.50753021,,11.36019615,c,31641.38368,,-1,,52
54,Antigua and Barbuda,0.826,,79.236,,15.51232774,c,10.54622968,j,18783.96536,,18,,54
55,Brunei Darussalam,0.823,,74.551,,13.69861984,,9.22,,59245.63485,,-43,,53
56,Russian Federation,0.821,,70.116,,15.66174936,c,12.41152954,,26991.84961,,1,,55
57,Bahamas,0.82,,74.358,,11.89137971,k,12.73161494,c,32534.88784,,-9,,67
57,Panama,0.82,,76.826,,13.21381473,c,10.68696295,c,32029.36025,,-6,,57
59,Oman,0.819,,73.935,,12.96403027,,11.89274979,,32967.43827,,-13,,58
60,Georgia,0.814,,71.587,,16.72682953,,12.70217037,,15952.02452,,19,,59
60,Trinidad and Tobago,0.814,,74.708,,14.1010764,o,11.73800258,c,22473.03876,,3,,60
62,Barbados,0.809,,77.706,,16.53069367,c,9.89206168,p,14810.23783,,24,,63
63,Malaysia,0.807,,76.26,,12.93247032,,10.74828052,c,27295.41224,,-7,,68
64,Costa Rica,0.806,,77.32,,16.09200378,c,8.804059982,,20248.38031,,2,,60
65,Serbia,0.805,,74.137,,14.50444031,,11.5047611,c,19494.00891,,3,,60
66,Thailand,0.803,,79.68,,15.58131027,,8.834560711,c,16886.51113,,10,,69
67,Kazakhstan,0.802,,69.489,,14.81626987,,12.43337895,c,22586.79889,,-6,,65
67,Seychelles,0.802,,71.738,,13.89179039,,11.19995,,28385.74806,,-12,,71
69,Belarus,0.801,,73.246,,13.98153019,,12.24122445,c,18425.01061,,5,,65
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,
70,Bulgaria,0.799,,71.528,,13.86802959,,11.41318035,,25920.80375,,-12,,70
71,Palau,0.797,,65.362,,17.21987569,k,13.04790021,k,19343.81199,l,-2,,64
72,Mauritius,0.796,,73.975,,14.61009979,,9.992049863,p,23251.62071,,-12,,72
73,Grenada,0.793,,75.335,,16.58226156,c,9.85796464,j,13593.24958,,18,,73
74,Albania,0.789,,76.833,,14.48746967,,10.12114431,p,15293.32651,,7,,74
75,China,0.788,,78.587,,15.21793605,c,8.106910446,c,18024.88747,,0,,74
76,Armenia,0.786,,73.372,,14.40561008,,11.33030033,,15388.29976,,4,,79
77,Mexico,0.781,,74.832,,14.50529957,,9.221050262,,19138.00726,,-7,,83
78,Iran (Islamic Republic of),0.78,,74.556,,14.11717033,,10.74618321,c,14770.32307,,10,,77
78,Sri Lanka,0.78,,76.61,,13.64182201,c,11.24960995,,11899.49847,,24,,76
80,Bosnia and Herzegovina,0.779,,75.293,,13.27705956,,10.53631973,,16571.41275,,-3,,77
81,Saint Vincent and the Grenadines,0.772,,68.972,,16.2530213,c,10.99625387,k,14049.14799,,9,,80
82,Dominican Republic,0.766,,74.17,,13.55698967,,9.150526383,c,18653.26836,,-9,,84
83,Ecuador,0.765,,77.894,,14.86483955,,8.969750404,,10693.23484,,25,,90
83,North Macedonia,0.765,,73.888,,13.00483036,,10.22815037,,16395.75173,,-5,,82
