economy,series,Country,Series,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
ZWE,NY.GDP.PCAP.KD,Zimbabwe,GDP per capita (constant 2015 US$),1357.53087818754,1230.81933361016,1312.20001358807,1369.19761495571,1418.47184628799,1417.71894115853,
ZMB,NY.GDP.PCAP.KD,Zambia,GDP per capita (constant 2015 US$),1301.18132976178,1228.73500113195,1269.10821808895,1298.8480495593,1330.85998216751,1343.38966380353,
YEM,NY.GDP.PCAP.KD,"Yemen, Rep.",GDP per capita (constant 2015 US$),,,,,,,
PSE,NY.GDP.PCAP.KD,West Bank and Gaza,GDP per capita (constant 2015 US$),3378.4346209191,2922.46801084844,3051.48607007995,3099.9609010368,2888.76306072177,2072.09019517685,
VIR,NY.GDP.PCAP.KD,Virgin Islands (U.S.),GDP per capita (constant 2015 US$),36309.7438446842,35850.7433148653,37313.0484931531,36983.431060272,,,
VNM,NY.GDP.PCAP.KD,Viet Nam,GDP per capita (constant 2015 US$),3241.07648966529,3303.16949807493,3358.21734764714,3617.66311465012,3775.46375555802,4017.74604111554,
VEN,NY.GDP.PCAP.KD,"Venezuela, RB",GDP per capita (constant 2015 US$),1762.73734800083,1255.37263090506,1276.62381449407,1379.97778822986,1430.74575249312,1501.02277449885,
VUT,NY.GDP.PCAP.KD,Vanuatu,GDP per capita (constant 2015 US$),2986.2036911437,2771.87098808052,2666.30269843855,2740.27545530661,2733.35978526081,2697.09183254533,
UZB,NY.GDP.PCAP.KD,Uzbekistan,GDP per capita (constant 2015 US$),3259.36964632494,3249.05191094018,3442.7248445034,3576.71552716054,3725.67414578619,3890.41593075015,
URY,NY.GDP.PCAP.KD,Uruguay,GDP per capita (constant 2015 US$),17758.4384372986,16443.3635000843,17416.0052208869,18228.3558443761,18378.9833563662,18958.6033293537,
USA,NY.GDP.PCAP.KD,United States,GDP per capita (constant 2015 US$),60750.9898621637,59194.6665172031,62680.2503585805,63886.1317069841,65186.5977244157,66356.1706750101,
GBR,NY.GDP.PCAP.KD,United Kingdom,GDP per capita (constant 2015 US$),47864.7588712634,42982.4631007642,46487.3424706549,48433.009835767,47934.9375098983,47960.9105761942,
ARE,NY.GDP.PCAP.KD,United Arab Emirates,GDP per capita (constant 2015 US$),43468.4586811918,39878.474427695,40935.8936567784,41828.5553298104,41926.5823645673,41605.4168670844,
UKR,NY.GDP.PCAP.KD,Ukraine,GDP per capita (constant 2015 US$),2398.07836914063,2324.107421875,2426.6123046875,1874.66296386719,2164.26123046875,2219.04248046875,
UGA,NY.GDP.PCAP.KD,Uganda,GDP per capita (constant 2015 US$),920.939101515671,917.0350317644,919.401675217265,933.094056370423,955.745797275462,986.090145363924,
TUV,NY.GDP.PCAP.KD,Tuvalu,GDP per capita (constant 2015 US$),4345.99606453315,4233.0183205634,4396.04894488478,4515.29701517492,4773.34085526672,,
TCA,NY.GDP.PCAP.KD,Turks and Caicos Islands,GDP per capita (constant 2015 US$),52419.8862128617,33739.4253991739,42907.7492465912,48307.3079245499,54523.0330927151,57179.29601876,
TKM,NY.GDP.PCAP.KD,Turkmenistan,GDP per capita (constant 2015 US$),6718.16608056274,6965.11226889286,7248.70763225719,7551.03650143157,7880.44528570939,8231.49544263659,
TUR,NY.GDP.PCAP.KD,Turkiye,GDP per capita (constant 2015 US$),12238.2950220128,12338.643833135,13670.938029516,14273.5747654873,14932.8851363122,15395.0278894893,
TUN,NY.GDP.PCAP.KD,Tunisia,GDP per capita (constant 2015 US$),4153.27978615515,3749.26841452928,3902.53322990199,3986.54558325666,3967.33387634534,4006.20588267443,
TTO,NY.GDP.PCAP.KD,Trinidad and Tobago,GDP per capita (constant 2015 US$),17225.361633712,15679.9611486825,15558.0940536829,15712.230497272,15922.7668349788,16312.4849555716,
TON,NY.GDP.PCAP.KD,Tonga,GDP per capita (constant 2015 US$),4566.07497816235,4647.0076512901,4612.90046969933,4533.96790206106,4680.29974543195,,
TGO,NY.GDP.PCAP.KD,Togo,GDP per capita (constant 2015 US$),810.512262603518,808.300697079208,829.786700130989,861.508010803054,893.753030300995,931.029965529857,
TLS,NY.GDP.PCAP.KD,Timor-Leste,GDP per capita (constant 2015 US$),1507.24743550088,1947.83992943521,2015.82035757039,1579.71085276403,1279.21122757564,1149.21888298011,
THA,NY.GDP.PCAP.KD,Thailand,GDP per capita (constant 2015 US$),6434.53770518034,6035.18627737077,6121.52696529713,6278.7855138276,6408.41432577294,6574.46109387985,
TZA,NY.GDP.PCAP.KD,Tanzania,GDP per capita (constant 2015 US$),1051.7666015625,1041.25964355469,1054.31726074219,1070.58532714844,1092.86413574219,1120.77416992188,
TJK,NY.GDP.PCAP.KD,Tajikistan,GDP per capita (constant 2015 US$),1148.34676712493,1171.90127480359,1254.06999592306,1325.75545290849,1407.1075436221,1496.33813395037,
SYR,NY.GDP.PCAP.KD,Syrian Arab Republic,GDP per capita (constant 2015 US$),771.518695271305,740.811397013438,734.334236323426,712.272278200037,,,
CHE,NY.GDP.PCAP.KD,Switzerland,GDP per capita (constant 2015 US$),87123.6604234257,84637.0132935333,88661.2029776281,90605.019427268,90077.4460280731,90067.4645431168,
